date,daily_vaccinations
2021-01-17,112
2021-01-18,554
2021-01-19,3823
2021-01-20,7136
2021-01-21,27304
2021-01-22,40980
2021-01-23,76825
2021-01-24,86373
2021-01-25,99928
2021-01-26,119630
2021-01-27,157335
2021-01-28,187769
2021-01-29,203165
2021-01-30,209348
2021-01-31,209905
2021-02-01,203386
2021-02-02,206238
2021-02-03,198831
2021-02-04,231737
2021-02-05,200982
2021-02-06,199739
2021-02-07,211375
2021-02-08,211604
2021-02-09,218237
2021-02-10,228375
2021-02-11,190540
2021-02-12,231604
2021-02-13,246260
2021-02-14,240466
2021-02-15,241206
2021-02-16,255676
2021-02-17,251887
2021-02-18,257121
2021-02-19,262717
2021-02-20,241137
2021-02-21,244837
2021-02-22,247768
2021-02-23,241018
2021-02-24,238305
2021-02-25,227474
2021-02-26,223804
2021-02-27,215553
2021-02-28,211824
2021-03-01,205292
2021-03-02,220567
2021-03-03,246521
2021-03-04,277239
2021-03-05,295339
2021-03-10,155024
2021-03-11,143026
2021-03-12,140053
2021-03-13,164909
2021-03-14,168025
2021-03-15,230058
2021-03-17,331400
2021-03-18,324639
2021-03-19,312314
2021-03-20,302425
2021-03-21,305644
2021-03-22,317286
2021-03-23,417182
2021-03-24,465953
2021-03-25,506249
2021-03-26,528163
2021-03-27,577131
2021-03-28,592115
2021-03-29,566513
2021-03-30,430480
2021-03-31,458860
2021-04-02,514287
2021-04-03,491098
2021-04-04,480449
2021-04-05,554114
2021-04-06,661176
2021-04-07,720288
2021-04-08,726681
2021-04-09,728920
2021-04-10,798868
2021-04-11,810162
2021-04-12,781720
2021-04-13,1135847
2021-04-14,1072282
2021-04-18,886544
2021-04-19,903176
2021-04-20,429344
2021-04-21,336382
2021-04-22,430031
2021-04-23,683902
2021-04-24,727766
2021-04-25,725721
2021-04-26,747378
2021-04-27,908810
2021-04-28,992146
2021-04-29,995000
2021-04-30,798004
2021-05-01,757933
2021-05-02,735178
2021-05-03,710754
2021-05-04,729289
2021-05-05,740290
2021-05-06,650348
2021-05-07,596657
2021-05-10,486170
2021-05-11,417092
2021-05-12,428988
2021-05-13,537959
2021-05-14,745397
2021-05-15,800404
2021-05-16,795659
2021-05-17,894140
2021-05-18,876967
2021-05-19,844329
2021-05-20,807435
2021-05-25,1344045
2021-05-26,1352814
2021-05-27,1329775
2021-05-28,1273730
2021-05-29,1123150
2021-05-30,922807
2021-05-31,756893
2021-06-01,643380
2021-06-02,621607
2021-06-03,723103
2021-06-04,615884
2021-06-05,642128
2021-06-06,657584
2021-06-09,841848
2021-06-10,794257
2021-06-11,859294
2021-06-13,920400
2021-06-14,882077
2021-06-15,927995
2021-06-16,961115
2021-06-17,1173151
2021-06-18,1233201
2021-06-19,1289940
2021-06-20,1260947
2021-06-21,1349548
2021-06-22,1401258
2021-06-23,1436195
2021-06-24,1259303
2021-06-27,1406299
2021-06-28,1222981
2021-06-29,1250068
2021-07-01,1408975
2021-07-04,1213850
2021-07-05,1427899
2021-07-06,1257242
2021-07-07,1328291
2021-07-08,1242514
2021-07-09,1307672
2021-07-11,1307796
2021-07-12,1274707
2021-07-13,1339579
